name,positions,age,nationality
Pape Souaré,"Defender (Left) 
 Midfielder (Left)",27 years old (06-06-1990),Senegal
James McArthur,Midfielder (Centre),29 years old (07-10-1987),Scotland
Patrick van Aanholt,"Defender (Left) 
 Midfielder (Left)",26 years old (29-08-1990),Netherlands
Wayne Hennessey,Goalkeeper,30 years old (24-01-1987),Wales
Damien Delaney,Defender (Centre),36 years old (20-07-1981),Ireland
Connor Wickham,"Attacking Midfielder (Left) 
 Forward",24 years old (31-03-1993),England
Martin Kelly,"Defender (Centre, Left, Right)",27 years old (27-04-1990),England
Joe Ledley,"Midfielder (Centre, Left)",30 years old (23-01-1987),Wales
Lee Chung-yong,"Midfielder (Centre, Left, Right)",29 years old (02-07-1988),South Korea
Steve Mandanda,Goalkeeper,32 years old (28-03-1985),France
Jonathan Benteke,Forward,22 years old (28-04-1995),Belgium
Bakary Sako,Midfielder (Left),29 years old (26-04-1988),Mali
Ezekiel Fryers,Defender (Left),24 years old (09-09-1992),England
Loïc Remy,"Midfielder (Left, Right) 
 Forward",30 years old (02-01-1987),France
Fraizer Campbell,Forward,29 years old (13-09-1987),England
Jordon Mutch,"Midfielder (Centre, Left)",25 years old (02-12-1991),England
Mathieu Flamini,Midfielder (Centre),33 years old (07-03-1984),France
Sullay Kaikai,Attacking Midfielder (Left),22 years old (26-08-1995),England
Gylfi Sigurdsson,"Midfielder (Centre, Left, Right) 
 Forward",27 years old (08-09-1989),Iceland
Alfie Mawson,Defender (Centre),23 years old (19-01-1994),England
Fernando Llorente,Forward,32 years old (26-02-1985),Spain
Kyle Naughton,"Defender (Left, Right)",28 years old (11-11-1988),England
Federico Fernández,Defender (Centre),28 years old (21-02-1989),Argentina
Leroy Fer,"Midfielder (Centre, Left)",27 years old (05-01-1990),Netherlands
Tom Carroll,Midfielder (Centre),25 years old (28-05-1992),England
Martin Olsson,Defender (Left),29 years old (17-05-1988),Sweden
Lukasz Fabianski,Goalkeeper,32 years old (18-04-1985),Poland
Jordan Ayew,"Attacking Midfielder (Left, Right) 
 Forward",25 years old (11-09-1991),Ghana
Jack Cork,Defensive Midfielder (C),28 years old (25-06-1989),England
Angel Rangel,Defender (Right),34 years old (28-10-1982),Spain
Jordi Amat,Defender (Centre),25 years old (21-03-1992),Spain
Modou Barrow,Attacking Midfielder (Right),24 years old (13-10-1992),Gambia
Jay Fulton,Defensive Midfielder (C),23 years old (04-04-1994),Scotland
Mike van der Hoorn,Defender (Centre),24 years old (15-10-1992),Netherlands
Neil Taylor,"Defender (Left) 
 Midfielder (Left)",28 years old (07-02-1989),Wales
Leon Britton,Midfielder (Centre),34 years old (16-09-1982),England
